epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7671,1.47632,4.04171,1.06842,0.00667,0.77922,0.00886,0.00399,1.96971,3.49188,1.14848,2e-05,2e-05,2e-05
2,31.8268,1.56423,2.68888,1.0669,0.95836,0.89679,0.97642,0.46796,1.7323,1.07563,1.1276,5.8812e-05,5.8812e-05,5.8812e-05
3,46.689,1.20244,1.13033,0.94467,0.97224,1,0.99371,0.65699,1.16333,1.124,0.94811,9.604e-05,9.604e-05,9.604e-05
4,61.6347,1.07868,1.05638,0.95748,0.97353,1,0.99462,0.72802,1.0017,1.03982,0.90954,0.000131684,0.000131684,0.000131684
5,77.4197,1.11402,0.83895,0.91323,0.96721,1,0.995,0.69015,1.01845,1.29283,0.91703,0.000165744,0.000165744,0.000165744
6,93.4854,1.07557,0.74812,0.90129,0.98929,1,0.995,0.63736,1.13883,1.07179,0.94381,0.00019822,0.00019822,0.00019822
7,109.002,1.143,0.75944,0.93138,0.98601,1,0.995,0.71878,0.97581,1.33235,0.89595,0.000229112,0.000229112,0.000229112
8,124.346,1.0459,0.8105,0.90629,0.97346,1,0.99449,0.74617,0.92295,0.66917,0.87922,0.00025842,0.00025842,0.00025842
9,139.512,1.06258,0.76014,0.87385,1,0.9836,0.99475,0.74212,0.92027,0.63261,0.87948,0.000286144,0.000286144,0.000286144
10,154.662,1.09866,0.76531,0.89399,0.97462,1,0.995,0.72514,0.97748,0.83185,0.90135,0.000312284,0.000312284,0.000312284
11,169.835,1.02252,0.6211,0.90788,0.97442,1,0.99474,0.71625,1.05992,0.82861,0.92626,0.00033684,0.00033684,0.00033684
12,184.71,1.02098,0.66651,0.94896,0.98603,1,0.99487,0.73196,1.01854,0.58806,0.91641,0.000359812,0.000359812,0.000359812
13,200.091,1.02009,0.67994,0.93058,0.99864,1,0.995,0.74265,0.9288,0.58353,0.89203,0.0003812,0.0003812,0.0003812
14,215.293,1.00781,0.67153,0.91134,0.99727,1,0.995,0.75774,0.89032,0.69339,0.88429,0.000401004,0.000401004,0.000401004
